1,V0_BT_MENU,メニュー,MENU,菜单,메뉴,
2,V0_BT_RIREKI,注文履歴,Ordered@ Items,点餐记录,주문이력,
3,V0_BT_HELP,呼出,Assistance,呼叫,호출,
4,V0_BT_KAIKEI,お会計,Check@ Out,结帐,회계,
5,V0_BT_TAG1,月替わり／　　　フェア,Monthly/Fair,每月变化,달 바뀜,
6,V0_BT_TAG2,サイド他,Side Menu,副菜单,사이드 등,
7,V0_BT_TAG3,あぶり 天ぷら他,Seared/Tempura,火烤/天妇罗类,구이/텐뿌라튀김,
8,V0_BT_TAG4,にぎり 他,Nigiri Sushi,握寿司,초밥 등,
9,V0_BT_TAG5,ぐんかん 細巻他,Roll/Gunkan@ Sushi,军舰/细卷,군함/마끼등,
10,V0_BT_TAG6,おすすめ,Recommend,推荐,추천,
11,V0_BT_TAG7,ドリンク@ デザート,Drink/Dessert,饮料 甜点,드링크 디저트,
12,V0_BT_TAG0,Choose Language,Choose Language,Choose Language,Choose Language,
13,V0_LB_WAIT,ただいまの@お届け時間,standard@arrival,现在的@送餐预计时间,지금으로부터/도착 시간,
14,V0_LB_WAIT_UNIT,分,miunute,分钟,분,
15,V0_BTPRE,«前のメニュー,«PREVIOUS,«上页菜单,«앞의메뉴,
16,V0_BT_NEXT,次のメニュー»,NEXT»,下页菜单»,다음메뉴»,
17,V0_LB_SARACOUNT,皿枚数,plate@count,碟子枚数,접시매수,
18,V0_LB_SARACOUNT_UNIT,枚,plate,枚,장,
#view order
20,V1_LB_MEG_CONFUSION,ただいま込み合っています。@@大変申し訳ありませんが、@もうしばらくしてから＠再度ご注文願います。,It is crowded now @So I feel sorry very much @ after a while please place an order again. ,现在点餐集中。@@十分抱歉，@请稍等片刻@再次点餐。,현재 붐비고 있습니다. @@대단히 죄송하지만, @잠시 후 @다시 주문 바랍니다.,
21,V1_LB_MEG_STOP,ただいま注文の受付を停止しております。@@大変申し訳ありませんが、@もうしばらくしてから@再度ご注文願います。,I have stopped the order now. @ So I feel sorry very much @ after a while please place an order again. ,现在暂停点餐。@@十分抱歉，@请稍等片刻@再次点餐。,지금 주문 접수를 중단하고 있습니다. @@대단히 죄송하지만, @잠시 후 @다시 주문 바랍니다.,
22,V1_LB_MEG_TIMUOUT,ただいま込み合っています。@@大変申し訳ありませんが、@もうしばらくしてから@再度ご注文願います。,It is crowded now @ So I feel sorry very much @ after a while please place an order again. ,现在点餐集中。@@十分抱歉，@请稍等片刻@再次点餐。,현재 붐비고 있습니다. @@대단히 죄송하지만, @잠시 후 @다시 주문 바랍니다.,
23,V1_LB_MEG_NOTCONECT,注文に失敗しました。@@申し訳ありませんが\nもうしばらくたってから@再度ご注文願います。,The order went wrong. @ So I feel sorry very much @ after a while please place an order again. ,点餐失败。@@十分抱歉，¥n请稍等片刻@再次点餐。,주문에 실패했습니다. @@대단히 죄송하지만\n@잠시 후 @다시 주문 바랍니다.,
24,V1_LB_MEG_OK,ご注文を承りました。@@ありがとうございます。,The order was heard. @@ Thank you,点餐已确认@@谢谢点餐。,주문이 접수되었습니다. @@감사합니다.,
25,V1_LB_MEG_REFUSAL,ただいま込み合っています。@@大変申し訳ありませんが、@もうしばらくしてから@再度ご注文願います。,It is crowded now @ So I feel sorry very much @ after a while please place an order again. ,现在点餐集中。@@十分抱歉，@请稍等片刻@再次点餐。,현재 붐비고 있습니다. @@대단히 죄송하지만, @잠시 후 @다시 주문 바랍니다.,
26,V1_LB_MEG_PRE0,ただいま大変込み合っています。@少々お待ち下さい。,order items are under preparation @@ after order items arrival @ please order again. ,现在点餐集中，@请稍等,현재 매우 붐비고 있습니다. @잠시만 기다려주세요.,
27,V1_LB_MEG_PRE,注文商品を準備中です@@申し訳ございませんが@次のページの商品は@すぐに注文可能です。,order items are under preparation @@ items of the next page @ order can be placed immediately,点餐商品正在准备@@十分抱歉，@下页菜单的商品@马上就可以点餐。,주문 상품을 준비 중입니다. @@죄송하지만 @다음 페이지의 상품은 @즉시 주문 가능합니다.,
28,V1_BT_ORDER,注文する,order,点餐,주문하기,
29,V1_BT_BACK,戻る,back,返回,돌아 가기,
30,V1_BT_WASABI_YES,わさび有,need wasabi ,芥末有,와사비 있음,
31,V1_BT_WASABI_NO,わさび無,no wasabi,芥末无,와사비 없음,
32,V1_LB_SELF,こちらの商品は@セルフコーナーに@ございます。,The goods here are at @ self corner ,该商品@位于自助商品区,여기의 상품은 @셀프 코너에 @있습니다.,
33,V1_LB_TITLE,ご注文数を選んで注文して下さい,choose the number of the orders,请选择点餐数量进行点餐,주문 수량를 선택해 주문해주십시오,

#======view arrive
40,V2_LB_TITLE_UNDER,ご注文の商品が到着します,Items of an order arrive,您的点餐商品即将到达,주문 상품이 도착합니다,
41,V2_LB_TITLE_HEIGHT,ご注文の商品が到着します,Items of an order arrive,您的点餐商品即将到达,주문 상품이 도착합니다,
#======view move
45,V6_BT_BACK,画面をタッチすると注文画面に戻ります。,If a screen is touched it will return,触摸画面返回点餐画面,화면을 터치하면 주문 화면으로 되돌아옵니다,
#======view top
47,V5_BT_BACK,注文画面に戻る,go to order menu,返回点餐画面,주문 화면으로 돌아가기,
48,V5_BT_TITLE1,chooselanguage,choose language,choose language,choose language,
49,V5_BT_TITLE2,動画,move,视频,동영상,
50,V5_BT_MOVE1,くら寿司@について,About@kula sushi,关于@kura寿司,kura스시에 @대하여,
51,V5_BT_MOVE2,おすすめの@ネタ,recommended@material,推荐@商品,추천 @재료,
52,V5_BT_MOVE3,鮮度くんの@取り方,How to Take@ plate cup,保鲜罩@取用方法,선도군으로부터 @접시를 잡는 방법,
53,V5_BT_MOVE4,タッチパネルの@使い方,How to use @ touch panel,触摸屏的@用法,터치 패널의 @사용법,
54,V5_BT_LANG1,日本語,日本語,日本語,日本語,
55,V5_BT_LANG2,English,English,English,English,
56,V5_BT_LANG3,简体字,简体字,简体字,简体字,
